commodity,unidade,calendario
Soja,c/bu,cbot
Milho CBOT,c/bu,cbot
Milho B3,R$/sc,b3
Algodão,c/lb,cbot
Óleo de soja,c/lb,cbot
Farelo de soja,US$/sTON,cbot
FX,R$/USD,b3
